Index,orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_month,shipdate_year,preparationtime
46,47,Dorris Love,Standard Class,84.98,1,0.0,18.6956,Home Office,West,Washington,Bookcases                                         ,Furniture,22,Freitag,1,2016,26,1,2016,4
47,48,Valerie Takahito,Standard Class,339.92,5,0.2,8.498,Home Office,South,Florida,Bookcases                                         ,Furniture,25,Mittwoch,11,2015,1,12,2015,6
48,49,Barry French,First Class,314.352,3,0.2,-15.7176,Consumer,South,Florida,Bookcases                                         ,Furniture,1,Sonntag,5,2016,2,5,2016,1
49,50,Barry French,Standard Class,130.98,2,0.5,-89.0664,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,25,Donnerstag,8,2016,29,8,2016,4
50,51,Sanjit Chand,Second Class,261.96,2,0.0,41.9136,Consumer,South,Kentucky,Bookcases                                         ,Furniture,9,Montag,11,2015,12,11,2015,3
51,52,Giulietta Weimer,Standard Class,556.665,5,0.15,6.549,Consumer,West,California,Bookcases                                         ,Furniture,10,Freitag,4,2015,15,4,2015,5
52,53,Giulietta Weimer,Standard Class,240.784,1,0.2,30.098,Consumer,East,New York,Bookcases                                         ,Furniture,7,Sonntag,2,2016,12,2,2016,5
53,54,Dario Medina,Second Class,722.352,3,0.2,90.294,Consumer,East,New York,Bookcases                                         ,Furniture,7,Montag,9,2015,10,9,2015,3
54,55,Dario Medina,First Class,1279.165,5,0.15,225.735,Consumer,West,California,Bookcases                                         ,Furniture,5,Sonntag,7,2015,7,7,2015,2
55,56,Frank Gastineau,Second Class,204.6664,1,0.32,-6.0196,Consumer,Central,Texas,Bookcases                                         ,Furniture,30,Montag,5,2016,3,6,2016,4
56,57,Craig Yedwab,Standard Class,1023.332,5,0.32,-30.098,Consumer,Central,Texas,Bookcases                                         ,Furniture,27,Sonntag,3,2016,1,4,2016,5
57,58,Michelle Tran,Standard Class,180.588,2,0.7,-240.784,Consumer,West,Colorado,Bookcases                                         ,Furniture,23,Freitag,9,2016,29,9,2016,6
58,59,Michelle Tran,First Class,1227.9984,6,0.32,-36.1176,Corporate,Central,Texas,Bookcases                                         ,Furniture,1,Samstag,3,2014,4,3,2014,3
59,60,Dean Percer,Standard Class,613.9992,3,0.32,-18.0588,Consumer,Central,Texas,Bookcases                                         ,Furniture,13,Donnerstag,11,2014,17,11,2014,4
60,61,Henry MacAllister,First Class,257.568,2,0.2,-28.9764,Consumer,East,New York,Bookcases                                         ,Furniture,26,Samstag,3,2016,27,3,2016,1
61,62,Ricardo Block,Second Class,482.94,6,0.5,-376.6932,Corporate,East,Ohio,Bookcases                                         ,Furniture,28,Samstag,6,2014,3,7,2014,5
62,63,Ricardo Block,Standard Class,273.666,2,0.15,-12.8784,Corporate,West,California,Bookcases                                         ,Furniture,17,Donnerstag,9,2015,23,9,2015,6
63,64,Cari Sayre,Standard Class,302.45,5,0.5,-199.617,Corporate,East,Ohio,Bookcases                                         ,Furniture,3,Sonntag,3,2013,8,3,2013,5
64,65,Sonia Cooley,Standard Class,387.136,4,0.2,-14.5176,Home Office,South,Tennessee,Bookcases                                         ,Furniture,23,Samstag,4,2016,27,4,2016,4
65,66,Tracy Poddar,Standard Class,217.764,6,0.7,-384.7164,Consumer,West,Oregon,Bookcases                                         ,Furniture,2,Sonntag,10,2016,8,10,2016,6
66,67,Tracy Poddar,First Class,181.47,5,0.7,-320.597,Consumer,West,Arizona,Bookcases                                         ,Furniture,19,Samstag,1,2013,20,1,2013,1
67,68,Jennifer Halladay,Standard Class,1336.829,13,0.15,31.4548,Consumer,West,California,Bookcases                                         ,Furniture,8,Donnerstag,12,2016,12,12,2016,4
68,69,Stuart Calhoun,Standard Class,72.588,2,0.7,-128.2388,Corporate,West,Oregon,Bookcases                                         ,Furniture,19,Montag,9,2016,25,9,2016,6
69,70,Robert Barroso,Second Class,241.96,2,0.0,41.1332,Home Office,Central,Michigan,Bookcases                                         ,Furniture,22,Donnerstag,9,2016,24,9,2016,2
70,71,Robert Barroso,Standard Class,327.7328,2,0.32,-14.4588,Consumer,Central,Texas,Bookcases                                         ,Furniture,17,Donnerstag,11,2016,23,11,2016,6
71,72,Tony Sayre,Second Class,72.294,1,0.7,-98.8018,Consumer,West,Colorado,Bookcases                                         ,Furniture,20,Freitag,3,2015,22,3,2015,2
72,73,Tony Sayre,Second Class,119.833,1,0.15,-12.6882,Consumer,West,California,Bookcases                                         ,Furniture,18,Sonntag,12,2016,23,12,2016,5
73,74,Brad Thomas,Standard Class,2003.92,5,0.2,-25.049,Consumer,East,New York,Bookcases                                         ,Furniture,17,Mittwoch,9,2014,23,9,2014,6
74,75,Candace McMahon,Standard Class,451.136,4,0.2,-67.6704,Consumer,South,North Carolina,Bookcases                                         ,Furniture,22,Donnerstag,1,2015,28,1,2015,6
75,76,Matt Collins,Standard Class,3406.664,8,0.15,160.3136,Consumer,West,California,Bookcases                                         ,Furniture,27,Freitag,11,2015,1,12,2015,4
76,77,Matt Collins,First Class,801.568,2,0.2,-10.0196,Consumer,East,New York,Bookcases                                         ,Furniture,20,Freitag,9,2013,23,9,2013,3
77,78,Darrin Martin,Standard Class,359.499,3,0.15,-29.6058,Consumer,West,California,Bookcases                                         ,Furniture,25,Freitag,11,2016,29,11,2016,4
78,79,Art Foster,Same Day,425.833,1,0.15,20.0392,Consumer,West,California,Bookcases                                         ,Furniture,31,Freitag,10,2014,31,10,2014,0
79,80,Clay Rozendal,Second Class,400.784,1,0.2,-5.0098,Consumer,East,New York,Bookcases                                         ,Furniture,25,Samstag,6,2016,27,6,2016,2
80,81,Valerie Dominguez,Second Class,704.9,5,0.0,56.392,Consumer,West,Washington,Bookcases                                         ,Furniture,25,Freitag,7,2014,27,7,2014,2
81,82,Sam Craven,Standard Class,359.499,3,0.15,-29.6058,Consumer,West,California,Bookcases                                         ,Furniture,3,Mittwoch,12,2014,7,12,2014,4
82,83,Sam Craven,Standard Class,4007.84,10,0.2,-50.098,Consumer,East,New York,Bookcases                                         ,Furniture,17,Sonntag,11,2013,22,11,2013,5
83,84,Arthur Prichep,Standard Class,220.2656,4,0.32,-42.1096,Corporate,Central,Texas,Bookcases                                         ,Furniture,27,Mittwoch,4,2016,1,5,2016,4
84,85,Carlos Soltero,Standard Class,388.704,6,0.2,-4.8588,Consumer,East,New York,Bookcases                                         ,Furniture,9,Donnerstag,4,2015,14,4,2015,5
85,86,Carlos Soltero,Second Class,145.764,6,0.7,-247.7988,Consumer,West,Colorado,Bookcases                                         ,Furniture,20,Donnerstag,11,2014,23,11,2014,3
86,87,Sung Chung,Second Class,521.96,4,0.5,-250.5408,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,11,Montag,11,2013,15,11,2013,4
87,88,Sung Chung,First Class,1552.831,7,0.15,200.9546,Corporate,West,California,Bookcases                                         ,Furniture,31,Sonntag,8,2014,2,9,2014,2
88,89,Sung Chung,First Class,626.352,3,0.2,46.9764,Home Office,East,New York,Bookcases                                         ,Furniture,12,Sonntag,10,2014,14,10,2014,2
89,90,Ken Brennan,Second Class,782.94,3,0.0,203.5644,Consumer,East,Massachusetts,Bookcases                                         ,Furniture,15,Donnerstag,9,2016,17,9,2016,2
90,91,Ken Brennan,Standard Class,532.3992,3,0.32,-46.9764,Home Office,Central,Texas,Bookcases                                         ,Furniture,27,Samstag,12,2014,31,12,2014,4
91,92,Ken Brennan,Standard Class,913.43,5,0.3,-52.196,Consumer,Central,Illinois,Bookcases                                         ,Furniture,20,Sonntag,7,2014,27,7,2014,7
92,93,Joe Elijah,Standard Class,1565.88,6,0.0,407.1288,Corporate,Central,Wisconsin,Bookcases                                         ,Furniture,8,Donnerstag,1,2015,12,1,2015,4
93,94,Arthur Prichep,Same Day,1043.92,4,0.0,271.4192,Corporate,East,Connecticut,Bookcases                                         ,Furniture,22,Donnerstag,10,2015,22,10,2015,0
94,95,Sheri Gordon,Standard Class,141.96,2,0.0,41.1684,Consumer,West,Washington,Bookcases                                         ,Furniture,1,Donnerstag,12,2016,8,12,2016,7
95,96,Sheri Gordon,Standard Class,283.92,4,0.0,82.3368,Consumer,East,Delaware,Bookcases                                         ,Furniture,6,Donnerstag,2,2014,13,2,2014,7
96,97,Carl Jackson,First Class,638.82,9,0.0,185.2578,Corporate,East,Connecticut,Bookcases                                         ,Furniture,29,Mittwoch,6,2016,2,7,2016,3
97,98,Carl Jackson,Standard Class,141.96,2,0.0,41.1684,Consumer,West,Nevada,Bookcases                                         ,Furniture,21,Freitag,11,2014,25,11,2014,4
98,99,Dave Hallsten,Same Day,113.568,2,0.2,12.7764,Home Office,East,New York,Bookcases                                         ,Furniture,22,Sonntag,11,2015,22,11,2015,0
99,100,Dave Hallsten,Second Class,1194.165,5,0.15,210.735,Corporate,West,California,Bookcases                                         ,Furniture,17,Sonntag,7,2016,19,7,2016,2
100,101,Tamara Chand,Standard Class,449.568,2,0.2,56.196,Consumer,East,New York,Bookcases                                         ,Furniture,25,Donnerstag,12,2014,30,12,2014,5
101,102,Tamara Chand,Second Class,1573.488,7,0.2,196.686,Corporate,East,New York,Bookcases                                         ,Furniture,31,Dienstag,12,2013,4,1,2014,4
102,103,Monica Federle,Standard Class,590.058,7,0.7,-786.744,Consumer,West,Colorado,Bookcases                                         ,Furniture,24,Mittwoch,12,2014,28,12,2014,4
103,104,Bill Eplett,First Class,899.136,4,0.2,112.392,Home Office,East,New York,Bookcases                                         ,Furniture,12,Sonntag,10,2014,14,10,2014,2
104,105,Harold Engle,First Class,477.666,2,0.15,84.294,Corporate,West,California,Bookcases                                         ,Furniture,26,Samstag,9,2015,28,9,2015,2
105,106,Duane Huffman,Standard Class,301.96,2,0.0,60.392,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,6,Sonntag,7,2014,11,7,2014,5
106,107,Dorothy Badders,Standard Class,205.3328,2,0.32,-36.2352,Corporate,Central,Texas,Bookcases                                         ,Furniture,31,Donnerstag,3,2016,4,4,2016,4
107,108,Sarah Jordon,Standard Class,241.568,2,0.2,0.0,Consumer,South,Florida,Bookcases                                         ,Furniture,3,Freitag,6,2016,10,6,2016,7
108,109,Susan MacKendrick,Standard Class,131.104,2,0.2,8.194,Corporate,South,Tennessee,Bookcases                                         ,Furniture,27,Samstag,12,2014,31,12,2014,4
109,110,Susan MacKendrick,Standard Class,163.88,2,0.0,40.97,Home Office,West,Washington,Bookcases                                         ,Furniture,21,Montag,9,2015,25,9,2015,4
110,111,Susan MacKendrick,First Class,81.94,1,0.0,20.485,Corporate,East,Massachusetts,Bookcases                                         ,Furniture,6,Sonntag,12,2015,8,12,2015,2
111,112,Caroline Jumper,Standard Class,163.88,4,0.5,-81.94,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,30,Sonntag,8,2015,4,9,2015,5
112,113,Caroline Jumper,Standard Class,1367.84,8,0.0,259.8896,Corporate,West,Washington,Bookcases                                         ,Furniture,30,Dienstag,7,2013,5,8,2013,6
113,114,Thomas Boland,Standard Class,435.999,3,0.15,20.5176,Corporate,West,California,Bookcases                                         ,Furniture,23,Montag,9,2013,28,9,2013,5
114,115,Roy French,Standard Class,512.94,3,0.0,97.4586,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,8,Samstag,3,2014,12,3,2014,4
115,116,Darrin Van Huff,Second Class,170.98,1,0.0,32.4862,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,27,Donnerstag,11,2014,29,11,2014,2
116,117,Pamela Stobb,First Class,183.372,2,0.3,-36.6744,Consumer,Central,Illinois,Bookcases                                         ,Furniture,3,Mittwoch,8,2016,4,8,2016,1
117,118,Pamela Stobb,Standard Class,333.999,3,0.15,3.9294,Consumer,West,California,Bookcases                                         ,Furniture,13,Sonntag,1,2013,18,1,2013,5
118,119,Helen Abelman,First Class,556.665,5,0.15,6.549,Corporate,West,California,Bookcases                                         ,Furniture,27,Donnerstag,10,2016,28,10,2016,1
119,120,Sibella Parks,Standard Class,314.352,3,0.2,-15.7176,Consumer,East,New York,Bookcases                                         ,Furniture,9,Sonntag,10,2016,14,10,2016,5
120,121,Peter McVee,Standard Class,523.92,5,0.2,-26.196,Consumer,East,New York,Bookcases                                         ,Furniture,1,Donnerstag,10,2015,5,10,2015,4
121,122,Peter McVee,Second Class,344.94,3,0.0,31.0446,Consumer,East,Maryland,Bookcases                                         ,Furniture,4,Freitag,9,2015,9,9,2015,5
122,123,Thais Sissman,Second Class,195.466,2,0.15,-13.7976,Consumer,West,California,Bookcases                                         ,Furniture,17,Donnerstag,7,2014,19,7,2014,2
123,124,Kean Nguyen,First Class,183.968,2,0.2,-25.2956,Consumer,East,New York,Bookcases                                         ,Furniture,20,Sonntag,11,2016,22,11,2016,2
124,125,Kean Nguyen,First Class,156.3728,2,0.32,-52.8908,Consumer,Central,Texas,Bookcases                                         ,Furniture,29,Samstag,8,2015,1,9,2015,3
125,126,Toby Swindell,Second Class,275.952,3,0.2,-37.9434,Home Office,East,New York,Bookcases                                         ,Furniture,25,Montag,11,2013,29,11,2013,4
126,127,Neola Schneider,Standard Class,293.199,3,0.15,-20.6964,Consumer,West,California,Bookcases                                         ,Furniture,5,Freitag,9,2014,9,9,2014,4
127,128,Neola Schneider,Standard Class,459.92,4,0.0,41.3928,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,8,Donnerstag,12,2016,13,12,2016,5
128,129,Alice McCarthy,First Class,883.92,5,0.2,-110.49,Consumer,East,New York,Bookcases                                         ,Furniture,2,Montag,12,2013,4,12,2013,2
129,130,Olvera Toch,Second Class,1352.3976,9,0.32,-437.5404,Consumer,Central,Texas,Bookcases                                         ,Furniture,3,Freitag,1,2014,8,1,2014,5
130,131,Eugene Moren,Standard Class,300.5328,2,0.32,-97.2312,Home Office,Central,Texas,Bookcases                                         ,Furniture,25,Mittwoch,9,2013,30,9,2013,5
131,132,Duane Huffman,Standard Class,353.568,2,0.2,-44.196,Consumer,East,New York,Bookcases                                         ,Furniture,22,Montag,6,2015,27,6,2015,5
132,133,Sean O'Donnell,Standard Class,176.784,1,0.2,-22.098,Consumer,East,New York,Bookcases                                         ,Furniture,11,Mittwoch,3,2015,17,3,2015,6
133,134,Carlos Daly,Standard Class,353.568,2,0.2,-44.196,Consumer,East,New York,Bookcases                                         ,Furniture,4,Dienstag,6,2013,9,6,2013,5
134,135,Carlos Daly,Second Class,1292.94,3,0.0,77.5764,Corporate,West,Utah,Bookcases                                         ,Furniture,17,Samstag,9,2016,21,9,2016,4
135,136,Valerie Dominguez,Standard Class,2154.9,5,0.0,129.294,Consumer,East,New Jersey,Bookcases                                         ,Furniture,12,Mittwoch,10,2016,16,10,2016,4
136,137,David Kendrick,First Class,61.96,4,0.5,-53.2856,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,14,Montag,1,2013,15,1,2013,1
137,138,Edward Nazzal,Standard Class,198.272,8,0.2,-32.2192,Corporate,South,North Carolina,Bookcases                                         ,Furniture,14,Donnerstag,4,2016,18,4,2016,4
138,139,Sanjit Jacobs,Second Class,61.96,2,0.0,4.3372,Home Office,South,Virginia,Bookcases                                         ,Furniture,19,Freitag,9,2014,24,9,2014,5
139,140,Sanjit Jacobs,Standard Class,323.136,4,0.2,12.1176,Consumer,East,New York,Bookcases                                         ,Furniture,30,Freitag,12,2016,3,1,2017,4
140,141,Karen Carlisle,Standard Class,205.9992,3,0.32,-27.2646,Corporate,Central,Texas,Bookcases                                         ,Furniture,13,Sonntag,11,2016,19,11,2016,6
141,142,Meg O'Connel,Standard Class,257.499,3,0.15,24.2352,Consumer,West,California,Bookcases                                         ,Furniture,18,Samstag,4,2015,22,4,2015,4
142,143,Anthony O'Donnell,Standard Class,242.352,3,0.2,9.0882,Consumer,East,New York,Bookcases                                         ,Furniture,14,Donnerstag,4,2016,19,4,2016,5
143,144,Anthony O'Donnell,First Class,141.372,2,0.3,-14.1372,Corporate,Central,Illinois,Bookcases                                         ,Furniture,24,Donnerstag,12,2015,25,12,2015,1
144,145,Luke Foster,Standard Class,302.94,3,0.0,69.6762,Consumer,South,Virginia,Bookcases                                         ,Furniture,21,Donnerstag,7,2016,27,7,2016,6
145,146,Luke Foster,Standard Class,405.86,7,0.0,32.4688,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,9,Mittwoch,12,2015,13,12,2015,4
146,147,Phillina Ober,Standard Class,69.576,4,0.7,-143.7904,Consumer,West,Colorado,Bookcases                                         ,Furniture,11,Donnerstag,12,2014,16,12,2014,5
147,148,Phillina Ober,Standard Class,173.94,3,0.0,13.9152,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,9,Mittwoch,9,2015,15,9,2015,6
148,149,Claudia Miner,First Class,424.116,6,0.3,-30.294,Consumer,Central,Illinois,Bookcases                                         ,Furniture,18,Montag,11,2013,21,11,2013,3
149,150,Jim Kriz,Standard Class,242.352,8,0.7,-363.528,Corporate,West,Colorado,Bookcases                                         ,Furniture,2,Freitag,12,2016,6,12,2016,4
150,151,Mike Vittorini,Standard Class,504.9,5,0.0,126.225,Consumer,South,Mississippi,Bookcases                                         ,Furniture,20,Montag,7,2015,26,7,2015,6
151,152,Mike Vittorini,First Class,302.94,3,0.0,75.735,Corporate,South,Georgia,Bookcases                                         ,Furniture,18,Mittwoch,5,2016,19,5,2016,1
152,153,Stefania Perrino,Standard Class,441.96,2,0.0,101.6508,Corporate,East,Delaware,Bookcases                                         ,Furniture,2,Mittwoch,3,2016,8,3,2016,6
153,154,Stefania Perrino,Second Class,220.98,1,0.0,50.8254,Corporate,East,Rhode Island,Bookcases                                         ,Furniture,22,Donnerstag,12,2016,27,12,2016,5
154,155,Jas O'Carroll,Standard Class,66.294,1,0.7,-103.8606,Consumer,West,Oregon,Bookcases                                         ,Furniture,5,Sonntag,10,2014,9,10,2014,4
155,156,Maureen Gastineau,Standard Class,586.398,6,0.15,34.494,Corporate,West,California,Bookcases                                         ,Furniture,21,Donnerstag,8,2014,26,8,2014,5
156,157,Maureen Gastineau,Second Class,781.864,10,0.32,-137.976,Corporate,Central,Texas,Bookcases                                         ,Furniture,3,Donnerstag,12,2015,5,12,2015,2
157,158,Maureen Gastineau,Standard Class,120.666,2,0.15,21.294,Home Office,West,California,Bookcases                                         ,Furniture,18,Sonntag,10,2015,22,10,2015,4
158,159,Kelly Lampkin,First Class,482.664,8,0.15,85.176,Corporate,West,California,Bookcases                                         ,Furniture,1,Freitag,4,2016,3,4,2016,2
159,160,Neola Schneider,Standard Class,198.744,4,0.3,0.0,Consumer,Central,Illinois,Bookcases                                         ,Furniture,4,Freitag,9,2015,8,9,2015,4
160,161,Allen Rosenblatt,Standard Class,307.666,2,0.15,-14.4784,Consumer,West,California,Bookcases                                         ,Furniture,7,Freitag,10,2016,13,10,2016,6
161,162,Max Jones,Standard Class,369.1992,3,0.32,-114.0174,Corporate,Central,Texas,Bookcases                                         ,Furniture,6,Mittwoch,8,2014,10,8,2014,4
162,163,Hallie Redmond,Second Class,246.1328,2,0.32,-76.0116,Corporate,Central,Texas,Bookcases                                         ,Furniture,21,Freitag,11,2014,26,11,2014,5
163,164,Matt Collins,Standard Class,723.92,5,0.2,-81.441,Consumer,South,Florida,Bookcases                                         ,Furniture,25,Freitag,11,2016,30,11,2016,5
164,165,Matt Collins,Second Class,435.999,3,0.15,5.1294,Consumer,West,California,Bookcases                                         ,Furniture,30,Donnerstag,6,2016,2,7,2016,2
165,166,Sanjit Jacobs,First Class,341.96,2,0.0,54.7136,Consumer,Central,Oklahoma,Bookcases                                         ,Furniture,11,Mittwoch,11,2015,13,11,2015,2
166,167,Anthony Witt,Standard Class,359.058,3,0.3,-71.8116,Consumer,Central,Illinois,Bookcases                                         ,Furniture,20,Samstag,12,2014,25,12,2014,5
167,168,Jim Epp,First Class,290.666,2,0.15,3.4196,Consumer,West,California,Bookcases                                         ,Furniture,31,Donnerstag,1,2013,2,2,2013,2
168,169,Sean O'Donnell,Standard Class,203.983,2,0.15,16.7986,Home Office,West,California,Bookcases                                         ,Furniture,11,Donnerstag,2,2016,15,2,2016,4
